Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.6549 	1.5969 	635.7679 	1.1411 	511.4643 	1.8482
2 	0.5179 	0.9876 	306.4228 	1.0558 	287.104 	1.1412
3 	0.7755 	1.1405 	404.5471 	1.2706 	377.1766 	1.2101
4 	0.5524 	1.1265 	333.6176 	0.9594 	320.2741 	1.1041
5 	1.3605 	3.4274 	359.9684 	2.3423 	345.4509 	1.1065
6 	0.2547 	0.8658 	231.8948 	0.5546 	231.1417 	1.006
7 	0.8904 	2.4047 	1230.0327 	1.4156 	1130.7258 	1.2781
8 	0.6908 	2.2854 	911.1522 	1.14 	735.9612 	1.9529
9 	0.9096 	1.6915 	581.3613 	1.4123 	614.9276 	0.8604
10 	0.8722 	1.5325 	777.1539 	1.4039 	659.7041 	1.664
11 	0.7507 	3.2653 	1677.3169 	1.2559 	1539.8216 	1.2559
12 	0.5015 	0.9892 	301.609 	0.9781 	300.0058 	1.011
13 	1.0112 	4.1478 	2014.9644 	1.5847 	2041.6099 	0.9648
14 	0.3899 	1.2285 	437.7952 	0.7397 	375.6807 	1.4286
15 	0.4026 	1.4057 	491.7609 	0.7573 	438.2734 	1.3024
16 	0.3219 	3.7577 	1391.3788 	0.6853 	1380.2991 	1.0152
17 	0.7337 	4.2524 	2341.8132 	1.2294 	1725.1402 	2.883
18 	0.6453 	1.2221 	408.7611 	1.0805 	429.9013 	0.8862
19 	0.9204 	4.8987 	2414.2932 	1.439 	2226.7762 	1.2747
20 	0.8417 	2.8791 	1193.2649 	1.3256 	1077.2073 	1.3632
21 	0.8658 	3.1421 	1553.5809 	1.3541 	1351.9055 	1.5625
22 	0.8159 	3.2023 	1904.1331 	1.3316 	1646.4743 	1.537
23 	0.5324 	0.9743 	347.7194 	1.0157 	335.3865 	1.0805
24 	0.4033 	4.0194 	1723.8846 	0.7552 	1566.4996 	1.2437
25 	0.8761 	1.5155 	617.2368 	1.4262 	585.9699 	1.1512
26 	0.7348 	2.185 	1059.9457 	1.2294 	941.5124 	1.3846
27 	0.4783 	4.2505 	1728.2824 	0.921 	1322.5732 	1.9545
28 	0.7191 	6.3778 	2612.3785 	1.2396 	2013.6662 	2.2017
29 	1.3876 	4.0248 	1396.0891 	2.0093 	1106.7443 	3.0284
30 	0.6239 	8.4501 	3927.4209 	1.1192 	2567.0718 	4.601
31 	1.1834 	2.185 	1127.5279 	1.7614 	985.1732 	1.6253
32 	0.5214 	3.4079 	1393.9371 	0.9222 	1276.0479 	1.2416
33 	0.6559 	1.2574 	543.3044 	1.0774 	534.0411 	1.0456
34 	0.629 	1.4808 	716.3949 	1.0699 	690.5537 	1.0959
35 	0.5764 	2.932 	1411.4415 	0.9899 	1255.9034 	1.3583
36 	0.5191 	1.167 	462.246 	0.8278 	438.7759 	1.1576
37 	0.4648 	1.4318 	425.1998 	0.7373 	429.0603 	0.976
38 	0.7499 	2.2756 	901.7333 	1.221 	798.9678 	1.4192
39 	0.4587 	1.4109 	425.1242 	0.7681 	393.9453 	1.2226
40 	1.7263 	1.7077 	620.6133 	2.487 	565.4966 	1.4092
41 	1.199 	1.4848 	867.3861 	1.7609 	759.6556 	1.6373
42 	0.6411 	2.3389 	1008.7249 	1.1141 	747.5497 	2.5625
43 	1.7977 	3.2123 	1111.6287 	2.5764 	958.1889 	1.8407
44 	0.4073 	1.7472 	712.9449 	0.8003 	668.0095 	1.1473
45 	1.9149 	1.823 	480.323 	2.6746 	478.1832 	1.0159
46 	0.7018 	1.3438 	416.0048 	1.1121 	382.1178 	1.2834
47 	0.5051 	1.2498 	418.2232 	0.8676 	360.2227 	1.4968
48 	0.6104 	2.077 	710.5788 	1.0832 	622.4409 	1.3969
49 	0.5813 	1.1652 	401.8663 	1.0384 	359.0254 	1.3195
50 	1.162 	3.2971 	1408.5208 	1.82 	1094.8995 	2.6033
51 	0.3774 	1.5115 	553.3266 	0.7233 	525.5981 	1.117
52 	0.8198 	1.3856 	363.0878 	1.3398 	349.3456 	1.108
53 	0.5105 	1.2591 	295.9671 	0.9364 	286.6928 	1.074
54 	1.1817 	1.6577 	349.3485 	1.8602 	317.9494 	1.327
55 	0.9473 	1.0679 	265.9369 	1.4733 	258.1393 	1.0895
56 	0.9974 	1.1496 	365.7379 	1.6804 	330.0015 	1.3165
